Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A coordinator's report covers its topic unevenly and every subagent's own output is sound. What follows?,multiple-choice,"The synthesis was uneven, so sound findings were unevenly represented.",,"The decomposition was uneven, so some areas were never assigned.",,"The topic is uneven, so some areas have less material available on them.",,"The subagents were given unequal budgets, so some produced less material.",,,,,,2,"When each part is good and the whole is not, the fault is in how the work was divided. Areas nobody was asked about cannot appear however well the subagents perform. Synthesis is the next place to look and would typically show as material present but poorly weighted rather than absent.",D1 Agentic Architecture & Orchestration
An agent is given a tool that can delete records and the requirement is that deletion never happens unattended. What enforces it?,multiple-choice,"Interception before execution, in the harness rather than in the prompt.",,A tool description stating that deletion requires human confirmation.,,A log of deletions reviewed daily by whoever owns the records.,,An instruction in the system prompt forbidding unattended deletion.,,,,,,1,"A guarantee cannot rest on the model choosing to comply, so it has to be enforced where the call is executed. Instructions and descriptions are advisory and are the first thing an injection bypasses. A review log records what has already happened rather than preventing it.",D1 Agentic Architecture & Orchestration
"A design uses four subagents where one would do, on the grounds that each has a clearer role. What is the assessment?",multiple-choice,"Unjustified without isolation, parallelism or independent verification.",,"Justified, since clearer roles produce more reliable output from each.",,"Justified, provided the four are run concurrently rather than in sequence.",,"Unjustified, since multi-agent designs are not warranted at this scale.",,,,,,1,"The legitimate reasons for multiple participants are context isolation, genuine parallelism and verification by something that did not produce the work. Role clarity alone is achieved by one agent switching instructions at a fraction of the cost. Multi-agent designs are sometimes right, which is why the last option overshoots.",D1 Agentic Architecture & Orchestration
A tool performs an irreversible action and the design wants a person in the loop. Where does that belong?,multiple-choice,"In the interface, which shows the user what the agent intends to do.",,"In the tool, which returns a prompt for confirmation before acting.",,"In the model, which is instructed to ask before calling the tool.",,"In the harness, which withholds execution until approval is given.",,,,,,4,"The gate has to sit where execution happens, so the call is withheld rather than requested politely. A tool that asks for confirmation and then proceeds on the model's reply is being gated by the model. Displaying intent informs the user without stopping anything.",D2 Tool Design & MCP Integration
A server needs a value from the user that the client did not supply. What does the protocol provide?,multiple-choice,"A prompt the user selects, which collects the value as its argument.",,A tool the model calls when it determines that user input is required.,,"A resource the client reads, which contains the value once provided.",,A way for the server to request input from the user through the client.,,,,,,4,"Elicitation lets a server ask for what it needs mid-interaction rather than failing or guessing, with the client mediating the request. Prompts collect arguments at invocation time rather than during execution, and neither tools nor resources give the server a channel to ask the user something.",D2 Tool Design & MCP Integration
A server must know which directories it is permitted to operate within. What conveys that?,multiple-choice,"The server's own configuration, which lists the permitted directories.",,"The roots the client declares, which bound where the server may work.",,"The system prompt, which states the boundaries the agent should respect.",,"A parameter on each tool call, naming the directory for that operation.",,,,,,2,"Roots are how a client tells a server the scope it is operating within, which keeps the boundary with the party that owns it rather than with the server or the model. Per-call parameters put the boundary in the model's hands, and a prompt-level statement is advisory.",D2 Tool Design & MCP Integration
A tool internally calls another tool to complete its work. What does that hide from the agent?,multiple-choice,The time the composite operation took relative to a single call.,,The identity of the underlying system the work was performed against.,,The arguments the inner call was made with by the outer tool.,,A step that consumed budget and could fail on its own terms.,,,,,,4,"Composition is often the right design and it makes the inner call invisible to the agent's reasoning and to its accounting, so a failure there surfaces as an unexplained failure of the outer tool. Returning enough detail for the agent to distinguish them is what keeps the abstraction usable.",D2 Tool Design & MCP Integration
A tool validates that its argument is a well-formed identifier and the record does not exist. How should it respond?,multiple-choice,"As a transient failure, since the record may exist at a later point.",,"As a validation failure, since in fact the argument did not resolve to anything.",,"As a distinct outcome, since not found is different from an invalid request.",,"As an empty result, since the query completed and returned no records.",,,,,,3,"Not found, malformed and unavailable call for different responses from the agent: correct the argument, try a different identifier, or retry later. Collapsing them into one signal is what produces retry loops on permanent conditions. An empty result is the right shape for a search and misleading for a lookup by identifier.",D2 Tool Design & MCP Integration
A tool's results will vary in size and the largest are very large. What should the schema provide?,multiple-choice,"A maximum size, above which the tool returns a failure instead.",,"A summarization option, which the caller sets when the result is large.",,Parameters that let the caller bound what comes back.,,A warning in the description that results may be large on some inputs.,,,,,,3,"Giving the caller control over volume, through limits and paging, lets the agent take what it needs and come back for more. A hard failure leaves a legitimate broad query with nothing usable, summarization discards content that cannot be re-requested, and a description does not change what arrives.",D2 Tool Design & MCP Integration
A team is deciding between an MCP server and a direct integration in their application. What favours the server?,multiple-choice,The capability requires credentials the application already holds.,,The capability is expected to change frequently over time.,,The capability is needed by more than one client or agent.,,The capability is complex enough to justify its own codebase.,,,,,,3,"The protocol's value is that one implementation serves many clients without each writing its own integration, so reuse across consumers is what justifies the overhead. A single-consumer capability is usually simpler as a direct integration. Complexity and change frequency argue for good structure rather than for a particular protocol.",D2 Tool Design & MCP Integration
A tool must behave differently depending on which user the agent is acting for. Where should that come from?,multiple-choice,"The system prompt, which states the user the session belongs to.",,"The application's context for the request, not from the model's arguments.",,"A parameter the model supplies, identifying the user it is acting for.",,"The tool's configuration, which is really set per user before the session begins.",,,,,,2,"Identity must not be something the model asserts, since anything influencing the model then influences whose data is reached. The application knows who the request is for and attaches it outside the model's control. A prompt-level statement is equally within reach of an injection.",D2 Tool Design & MCP Integration
Two tools are frequently called together in a fixed order. What does that suggest?,multiple-choice,"The two should be declared adjacently, so the pattern is apparent.",,The model should be instructed to call them in that order.,,A single tool covering the pair may be the better interface.,,The first tool's result should be cached for the second's use.,,,,,,3,"A pair always used together is one operation the agent is being made to assemble, and combining them removes a decision, a round trip and a class of error where only the first is called. Instructions and declaration order manage the symptom while leaving the sequence as something the model must get right.",D2 Tool Design & MCP Integration
An MCP server's tool descriptions are supplied by a third party. What does that mean for trust?,multiple-choice,"The descriptions can be overridden locally, so their content does not matter.",,The descriptions are read by the client and simply cannot influence the model directly.,,The descriptions are advisory and matter less than the server's implementation.,,The descriptions shape the model's behaviour and are part of the trust boundary.,,,,,,4,"Descriptions enter the context and direct what the model calls and when, which makes them an influence channel as much as the implementation is. Reviewing them, and pinning versions, is part of adopting a server. Treating them as inert documentation understates what they do.",D2 Tool Design & MCP Integration
A tool call fails and the agent has no way to tell whether retrying is sensible. What is missing from the result?,multiple-choice,"A description of what went wrong, in enough detail to be understood.",,A classification of the failure that distinguishes transient from permanent.,,A record of how many times the call has already been attempted.,,A suggestion of what the agent should do in response to the failure.,,,,,,2,"The agent's decision is whether the same call has a chance of succeeding, and only a classification answers that. A detailed message helps and still requires interpretation. Attempt counts belong to the caller, and a suggested action embeds a policy decision in the tool.",D2 Tool Design & MCP Integration
A hook needs to stop a tool call from proceeding. How does it signal that?,multiple-choice,"By writing a message to its output, which the harness reads as a refusal.",,By modifying the call's arguments so that the operation cannot proceed.,,"Through its exit status, which the harness interprets as a block.",,"By raising an error, which propagates as a failure of the tool itself.",,,,,,3,"Hooks communicate through their exit status, which is what lets a small script act as a deterministic gate. Output is available for explaining the decision rather than making it. Rewriting arguments to sabotage a call is indirect and leaves the call recorded as attempted.",D3 Claude Code Configuration & Workflows
A team wants every session in a repository to use a particular model. Where does that belong?,multiple-choice,In an environment variable each engineer sets in their shell.,,"In the repository's committed settings, so it applies on checkout.",,In a note in the memory file asking engineers to select it.,,"In each engineer's personal settings, applied to that repository.",,,,,,2,"Committed project settings distribute with the code and apply without anyone doing anything, which is what makes a team-wide default reliable. Personal settings and environment variables depend on each person configuring them, and a request in a memory file is not a setting at all.",D3 Claude Code Configuration & Workflows
Engineers are approving so many permission prompts that they have stopped reading them. What is the sound response?,multiple-choice,"Grant the routine operations explicitly, so the remaining prompts matter.",,"Grant everything for the session, so no prompts interrupt the work.",,"Reduce how much work is done per session, so fewer prompts arise.",,Train the engineers to read each prompt before responding to it.,,,,,,1,"Prompt fatigue is a design problem: when everything asks, nothing is read, and the dangerous operation is approved with the rest. Allowing the safe, frequent operations by rule restores signal to the ones that remain. Blanket approval removes the control, and exhorting people to read more does not survive volume.",D3 Claude Code Configuration & Workflows
A monorepo is large enough that a session cannot survey it all. What is the productive approach?,multiple-choice,Read every file in the module in question before making any change.,,Work from the entry points relevant to the task and follow the references.,,"Ask for a summary of the repository, and work from that summary.",,Read the repository's directory structure in full before starting the work.,,,,,,2,"Targeted navigation from a relevant starting point is what makes large codebases tractable, and it is what an exhaustive read is a poor substitute for. Reading everything spends the context before the work begins, and a summary of a large repository is too lossy to base changes on.",D3 Claude Code Configuration & Workflows
A team wants generated code to be covered by tests written against the requirement rather than the implementation. What ordering supports that?,multiple-choice,"Generate the code, then write the tests by hand against the requirement.",,"Generate both together, so the tests and the code are consistent.",,"Write and confirm the tests first, then generate the code to satisfy them.",,"Generate the code first, then generate tests covering what it does.",,,,,,3,"Tests written after an implementation tend to encode what it does, including its mistakes. Establishing the tests first, and confirming they fail, makes them a specification the code must meet. Hand-writing them afterwards addresses the same risk at greater cost.",D3 Claude Code Configuration & Workflows
Generated tests for a legacy module all pass on the first run. What must be confirmed?,multiple-choice,That they follow the conventions the existing test suite uses.,,That they run quickly enough to be included within the existing suite.,,That they fail when the behaviour they cover is deliberately broken.,,That they cover every branch of the module they were written for.,,,,,,3,"Tests that pass immediately may be asserting nothing, and the cheapest check is to break the code and confirm they notice. Coverage, speed and convention are all worth having and none of them establishes that the tests can fail.",D3 Claude Code Configuration & Workflows
A review session is run on a pull request and repeats findings it already posted on an earlier commit. What should it be given?,multiple-choice,"The full history of the branch, so it understands what has changed.",,"A narrower scope, so it examines only the most recent commit.",,An instruction to avoid repeating itself across successive runs.,,"The findings already posted, so it can report only what is new.",,,,,,4,"State about what has already been reported is what turns repeated runs into incremental review, and it has to be supplied since each run starts fresh. Narrowing to the latest commit misses findings that span the change, and an instruction cannot act on information the session does not have.",D3 Claude Code Configuration & Workflows
Generated code is about to be committed. What deserves the closest reading?,multiple-choice,"The parts that were generated last, when context was fullest.",,"The parts that touch data, permissions or external systems.",,The parts that differ most from the surrounding code's style.,,"The parts that are longest, since these contain the most logic.",,,,,,2,"Review effort should follow consequence, and the code that reads or writes data, changes access, or calls outward is where an error is expensive and least likely to be caught by tests. Length, style and generation order are proxies that a well-placed defect will sit outside of.",D3 Claude Code Configuration & Workflows
A session has made a large change spanning several concerns. What should happen before committing?,multiple-choice,"Commit it as one change, since it was produced as one piece of work.",,Separate it into commits that each stand on their own.,,Discard it and redo the work one concern at a time from scratch.,,Commit it as one change with a message describing each concern.,,,,,,2,"Commits are read, reverted and bisected individually, so a change bundling several concerns is harder to review and cannot be partially undone. Separating them is ordinary hygiene that applies regardless of how the change was produced. Redoing the work discards a result that is fine once organized.",D3 Claude Code Configuration & Workflows
A hook is added to prevent credentials from being committed. Where should it run?,multiple-choice,"After the commit, so the developer is told to amend it.",,"In the pipeline, and so that the branch is rejected when it is pushed.",,"Before the commit is created, so the credential never enters history.",,"On a schedule, so the repository is scanned periodically.",,,,,,3,"Once a secret is in history it must be treated as compromised regardless of what happens next, so the check has to run before the commit exists. Later checks tell you a rotation is needed, which is a far more expensive outcome than a blocked commit.",D3 Claude Code Configuration & Workflows
A repository's memory file has grown to cover many unrelated topics. What is the correct restructuring?,multiple-choice,"Split it, with imports pulling in what applies where.",,Move it to the individual directories the topics apply to.,,"Shorten it, keeping only the most important of the topics.",,"Reorder it, so the most frequently relevant topics appear first.",,,,,,1,"Splitting with imports keeps each topic in its own maintainable file while composing them where needed, which is what stops an edit to one topic disturbing another. Shortening loses guidance, ordering does not reduce what is loaded, and pure directory placement misses conventions that apply repository-wide.",D3 Claude Code Configuration & Workflows
A team has accumulated configuration rules over several months and cannot tell which are still earning their place. How should that be assessed?,multiple-choice,"Remove the oldest of them, since these were written for an earlier state of the work.",,"Review them as a set, keeping the ones the team still recognizes as necessary.",,"Consolidate them into fewer rules, which reduces the total that has to be maintained.",,Remove them one at a time and observe whether the behaviour each targeted returns.,,,,,,4,"A rule's value is whether its absence changes anything, and the only way to establish that is to remove it and watch. Doing so singly keeps the result attributable. Reviewing by recognition keeps whatever sounds sensible, age is a poor proxy for relevance, and consolidation reorganizes the set without testing any of it.",D3 Claude Code Configuration & Workflows
A structured extraction must handle sources that sometimes contain none of the target information. What should the schema express?,multiple-choice,"A required field for every target, so the absence is always reported.",,"An optional field for every target, so absence is simply omission.",,"An explicit representation of absence, distinct from an empty value.",,"A free text field, so the absence can be described in words.",,,,,,3,"Distinguishing not present from empty from zero is what lets downstream code behave correctly, and an explicit absent marker carries that. Bare omission is ambiguous with a field the extraction missed, and free text moves the problem into something nobody can query reliably.",D4 Prompt Engineering & Structured Output
A list field in a schema has no constraints and extractions return wildly varying numbers of entries. What should be added?,multiple-choice,Bounds and a stated basis for what belongs in the list.,,"A maximum length, so the list cannot grow beyond a usable size.",,"A required minimum, so the list is never returned empty.",,"An ordering rule, so entries appear in a predictable sequence.",,,,,,1,"Variation in list length usually means the inclusion criterion is unstated, so the model decides afresh what counts each time. Saying what belongs, with bounds, is what makes the output comparable across documents. A cap or a floor constrains the count without addressing what should be in it.",D4 Prompt Engineering & Structured Output
Two prompts are being compared and one produces better output on the team's examples. What else should be established?,multiple-choice,Whether the better prompt was written by the person who will maintain it.,,Whether the examples represent the inputs the system actually receives.,,Whether the better prompt is shorter than the one it would replace.,,Whether the better prompt uses the same techniques as the existing one.,,,,,,2,"A result on a set that does not resemble production tells you about the set. Confirming representativeness is what makes the comparison actionable, and it is the step most often skipped. Length, authorship and technique are properties of the prompt rather than evidence about its behaviour.",D4 Prompt Engineering & Structured Output
A prompt is edited directly in a running system to fix an urgent problem. What is the objection?,multiple-choice,"The change is unreviewed, so a second opinion was not obtained.",,"The change is untested, so that it may not fix the problem it addresses.",,"The change is undocumented, so its purpose will not be understood.",,"The change is unversioned, so nothing can be attributed to it later.",,,,,,4,"A prompt is configuration that determines behaviour, and an unversioned edit leaves a system whose current state nobody can reconstruct or roll back. Testing, review and documentation all become possible once versions exist, which is why versioning is the foundational omission rather than one of four equals.",D4 Prompt Engineering & Structured Output
A structured output must include where each claim came from. How should that be expressed?,multiple-choice,As a field on each claim carrying the source reference.,,As a separate call that attributes the claims afterwards.,,As a list of sources at the end of the structured output.,,"As free text within each claim, naming the source inline.",,,,,,1,"Attaching provenance to the claim it supports keeps them together through any downstream processing, which a separate list does not. Inline text is not queryable, and a second pass reattributes claims using the same process that would have to be checked anyway.",D4 Prompt Engineering & Structured Output
A schema includes a confidence field the model populates. What is that legitimately used for?,multiple-choice,"Routing which outputs a person reviews, once it has been calibrated.",,Reporting to users how much weight to place on each output.,,Deciding which outputs can readily be relied on without any review at all.,,Weighting the output when it is combined with other sources.,,,,,,1,"Self-reported confidence is generated text and is not calibrated by default, so its defensible use is as a triage signal within a process that still reviews, after checking that low scores actually correlate with errors. Presenting it to users or using it as a weight treats it as a measurement it has not been shown to be.",D4 Prompt Engineering & Structured Output
A model declines to produce a structured output for a particular input. How should the pipeline treat that?,multiple-choice,"As a malformed response, logged and skipped along with the others.",,"As an input error, returned to whoever supplied the source material.",,"As a distinct outcome to be routed, not as a parse failure to retry.",,"As a transient failure, retried until an output is eventually produced.",,,,,,3,"A refusal carries information about the input and is not fixed by retrying. Routing it for human attention is the correct handling, and it should be counted separately so a rise in refusals is visible. Retry loops on refusals waste budget and can look like an attempt to defeat a control operating correctly.",D4 Prompt Engineering & Structured Output
A batch of documents is extracted and the same field is interpreted differently across them. What addresses it?,multiple-choice,"A larger model tier, which interprets the field more consistently.",,A post-processing step that normalizes the values after extraction.,,"A lower temperature, which reduces variation between the extractions.",,A field description stating precisely what it holds and what it excludes.,,,,,,4,"Inconsistent interpretation across documents means the field's definition is doing too little work, and stating what counts and what does not is the direct fix. Sampling settings reduce variation for the same input rather than aligning interpretation across different ones, and normalization cannot recover a distinction that was never drawn.",D4 Prompt Engineering & Structured Output
A prompt places its instruction before a long document and results are inconsistent. What ordering is preferred?,multiple-choice,"Instruction first, document last, which establishes the task up front.",,"Document first, instruction last, which suits long inputs.",,"Instruction repeated at both ends, so it is close to either boundary.",,"Instruction interleaved with the document, applied section by section.",,,,,,2,"For long inputs the documented ordering places the material first and the instruction after it, which measurably improves how well the content is used. Repetition costs tokens and adds an opportunity for the two copies to diverge, and interleaving fragments a document that should be read as a whole.",D4 Prompt Engineering & Structured Output
An output must suit a non-specialist reader and keeps arriving in technical register. What is the effective addition?,multiple-choice,A statement of who will read it and what they need to do with it.,,"An example of the register, drawn from previous work.",,"A shorter length limit, which forces simpler construction.",,An instruction to avoid technical terminology well within the output.,,,,,,1,"Register follows from audience and purpose, so naming the reader and their goal directs every choice the output makes rather than prohibiting a symptom. An example is a strong second and demonstrates the target without stating why. Banning terminology and shortening address the surface.",D4 Prompt Engineering & Structured Output
A prompt's output length varies widely and a ceiling genuinely must hold. What is reliable?,multiple-choice,Stating the maximum length in the instruction as a firm requirement.,,Asking for a shorter revision when the output exceeds the ceiling.,,"Providing examples at the target length, so the pattern is established.",,"Constraining the output limit, with truncation detected explicitly.",,,,,,4,"A token limit is enforced rather than interpreted, which makes it the mechanism when a ceiling must hold, paired with a check on the stop reason so a truncated result is never used as complete. Instructions and examples shape typical length, and a revision pass pays for the long output first.",D4 Prompt Engineering & Structured Output
The same document is retrieved at several points in an agent's run. What should the design do?,multiple-choice,"Allow it, since repetition reinforces the document's relevance.",,"Deduplicate before appending, so it occupies the context once.",,"Prevent the repeated retrieval, so the tool is not called twice.",,"Summarize the second and later copies, so they take less space.",,,,,,2,"Duplicate content is paid for per copy and contributes nothing after the first, so deduplicating at the point of append is the direct saving. Preventing the retrieval is a reasonable complement and harder, since the second call may be for a legitimate reason. Repetition does not improve attention in any useful sense.",D5 Context Management & Reliability
A field is added to an extraction schema that is already running in production. What must be handled?,multiple-choice,Records extracted before the change must be migrated so that the field is populated for them.,,"Records extracted before the change are unaffected, since a new field does not alter them.",,"Records extracted before the change lack the field, so consumers must tolerate its absence.",,"Records extracted before the change are invalid, so the whole set has to be re-extracted.",,,,,,3,"A schema change divides the stored records into those produced before and after it, and consumers reading across both encounter the field inconsistently. Deciding whether to backfill, to default, or simply to tolerate absence is the work. Treating the historical records as invalid overstates the problem, and calling them unaffected ignores that something now reads them expecting the field.",D4 Prompt Engineering & Structured Output
A multi-agent run's token budget must be divided between its participants. What is the sound basis?,multiple-choice,"The work each is doing, with headroom reserved for the synthesis.",,"An equal share, and so no participant is favoured over the others.",,"Their historical consumption, measured over previous runs.",,"The order they run in, with earlier participants given more.",,,,,,1,"Allocation should follow the shape of the work, and the synthesis step in particular needs enough remaining budget to receive and combine what the others produced. Equal shares starve the demanding subtasks, and historical figures are a useful input rather than a basis when the work varies per run.",D5 Context Management & Reliability
A team logs everything an agent does and alerts on none of it. What is the gap?,multiple-choice,The volume of logs makes retrieval slow when an investigation begins.,,The logs are retained longer than the period they are useful for.,,Nothing brings a condition to anyone's attention until someone looks.,,The logs may not contain the fields an investigation would require.,,,,,,3,"Logs answer questions once someone knows to ask; alerts are what create that knowledge. Choosing a small number of conditions worth waking someone for, and leaving the rest to logs, is the distinction. Volume, coverage and retention are qualities of the logging rather than the absence of a signal.",D5 Context Management & Reliability
A fallback to a smaller model exists for when the primary is unavailable. What must be true before it is relied on?,multiple-choice,Its output has been evaluated on the same cases as the primary.,,"It is faster, so the fallback does not extend the response time.",,"It is cheaper, so the fallback path does not increase the cost.",,"It uses the same prompt, so the two paths behave consistently.",,,,,,1,"An unevaluated fallback is a commitment to serve output nobody has examined, at the moment the system is already degraded. Running the same cases through it is what makes it a real option rather than a hope. Cost and latency are properties of the path rather than reasons to trust what it produces.",D5 Context Management & Reliability
An agent's work queue is growing faster than it is being drained. What does the design need?,multiple-choice,"A longer retention on the queue, so the backlog can be held.",,"More agent capacity, so the drain rate rises to meet the arrivals.",,A signal upstream that slows the arrival of new work.,,"Prioritization, so the most urgent work is handled first.",,,,,,3,"Without a signal to whatever is producing work, a throughput shortfall becomes unbounded growth and eventually loss. Backpressure makes the constraint visible where the work originates. Capacity is bounded by throughput limits, and retention and prioritization manage a backlog rather than preventing one.",D5 Context Management & Reliability
"How should a degraded answer be distinguished from a failure, operationally?",multiple-choice,A degraded answer is usable with its gaps named; a failure is not usable.,,A degraded answer used a fallback path; a failure used the primary one.,,A degraded answer took longer to produce; a failure did not complete.,,A degraded answer was produced from partial data; a failure from none.,,,,,,1,The distinction that matters to a consumer is whether they have something they can act on and whether they have been told what it is missing. Which path produced it and how long it took are implementation facts. Naming the gap is what makes degradation honest rather than a quiet reduction in quality.,D5 Context Management & Reliability
Reliability is measured from the agent's own logs and consumers report a different experience. What is the likely gap?,multiple-choice,The agent's definition of success is stricter than the consumers' one.,,The consumers include their own processing in what they measure.,,The consumers are measuring over a different period than the agent.,,Requests that never reached the agent are absent from its own view.,,,,,,4,"A component cannot count what it never received, so timeouts, connection failures and rejections upstream are invisible in its own records while being entirely visible to callers. Measuring from the consumer's side is what closes the gap. Definitional and windowing differences are real and usually smaller.",D5 Context Management & Reliability
